question,answer
5+3=?,8
6+4=?,10
7+2=?,9
8+5=?,13
9+6=?,15
4+4=?,8
7+7=?,14
8+8=?,16
9+9=?,18
6+5=?,11
7+4=?,11
8+3=?,11
9+2=?,11
5+5=?,10
6+6=?,12
7+5=?,12
8+4=?,12
9+3=?,12
4+3=?,7
2+7=?,9
9-4=?,5
8-3=?,5
7-2=?,5
9-6=?,3
8-5=?,3
7-4=?,3
6-2=?,4
9-7=?,2
8-6=?,2
5-3=?,2
9-2=?,7
8-4=?,4
7-3=?,4
6-5=?,1
9-8=?,1
7-6=?,1
9-5=?,4
8-7=?,1
6-4=?,2
5-2=?,3
3+4+2=?,9
2+5+3=?,10
4+4+4=?,12
5+3+2=?,10
6+2+1=?,9
7+2+1=?,10
8+1+2=?,11
3+3+3=?,9
4+5+6=?,15
5+5+5=?,15
6+6+2=?,14
1+8+9=?,18
3+8+7=?,18
9-3-2=?,4
8-4-2=?,2
9-2-3=?,4
8-3-4=?,1
7-2-4=?,1
9-5-1=?,3
8-2-5=?,1
6-1-2=?,3
4+3-2=?,5
8-5+4=?,7
9-6+5=?,8
6+4-7=?,3
20+10=?,30
30+20=?,50
40+30=?,70
10+50=?,60
20+20=?,40
60+30=?,90
40+50=?,90
30-10=?,20
50-20=?,30
70-40=?,30
80-30=?,50
90-60=?,30
60-40=?,20
40-20=?,20
80-50=?,30
12+5=?,17
14+3=?,17
23+6=?,29
31+8=?,39
45+4=?,49
52+7=?,59
61+8=?,69
16+3=?,19
24+5=?,29
33+6=?,39
15-8=?,7
13-6=?,7
12-4=?,8
11-5=?,6
18-5=?,13
26-4=?,22
35-3=?,32
44-2=?,42
57-5=?,52
68-4=?,64
23+14=?,37
32+25=?,57
41+36=?,77
52+34=?,86
61+23=?,84
45+32=?,77
34+53=?,87
22+66=?,88
13+45=?,58
72+16=?,88
57-23=?,34
48-25=?,23
89-47=?,42
76-32=?,44
95-61=?,34
67-25=?,42
58-36=?,22
79-28=?,51
86-53=?,33
99-46=?,53
